ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,ac463c5a-9fca-4bb7-9ad1-08610f4ca615,1,Right_Bank,1.5,0.25,0.22,0.28,aa81cdc7-2e11-408a-a095-720f119db3fa,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
2,e3b84abf-9d34-4744-8043-07a6c3970a5a,1,Left_Bank,1.05,0.29,0.31,0.22,e723110e-d91f-4201-a24a-b25b5b09df55,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
3,6cc32645-7e37-4a61-bcd6-e50cd295424d,1,Right_Bank,3,0.37,0.33,0.23,b88a54e6-d6e4-452d-a6d7-eecce1391cf7,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
4,b1501b72-b48d-47c8-a56e-e67bb156a2b6,1,Right_Bank,3.5,0.4,0.29,0.28,5e4d1f84-c0ce-4efb-860c-29bf0ca16db5,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
5,6a5f2541-f050-49cf-909e-fea99fd4a20c,1,Left_Bank,2,0.5,1.11,1.01,70604035-b8db-44e2-97a1-959a02d8c07e,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
6,d29a1609-19d3-4651-813d-3bdc768be59c,1,Right_Bank,1.9,0.46,0.34,0.39,b374e6d4-9b4c-41d0-9395-975b35d83816,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
7,c414a978-3d19-4f7e-ab8f-dc97951f0138,1,Right_Bank,4.5,0.59,0.54,0.29,256ddc20-b57b-4b68-9f68-1a0be1b70188,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
8,53bc2704-b944-4077-ab88-e24b5f274623,1,Right_Bank,1.7,0.31,0.37,0.3,a2cfbd46-bf30-4b49-9f6c-08eaa7754351,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
9,35b2f103-a6b7-4ad1-9c77-515871fc0fbf,1,Left_Bank,3.5,0.29,0.35,0.47,f6b7918f-064b-4088-b42b-77d8b724e21f,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
10,28aac20a-8759-45b4-b192-b1095a2f2838,1,Left_Bank,3,0.91,0.82,0.7,a7cc4ee0-e1a0-4a46-b57d-ba3c03d9a8b5,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
11,21433283-f328-4d03-9b3a-ce5fc7570e8d,1,Right_Bank,1.5,0.41,0.65,0.47,6c6f5786-b457-4af4-81cc-b3bef1e4944b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
