ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,6e2d4c74-e0e6-485e-be4f-4e85f507f6b0,Riffle,1,1,0.19,,0.1,,0.1,,0.1,,,,,19.3,38.5,19.3,109,38.5,77,3,9.65,19.3,154,54.5,0.3,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
2,0833b91e-4c85-4cd1-ad55-7406b6e7e818,Pool,2,1,0.22,,0.1,,,,0.9,60,30,10,,,,,,,,,,,,,0.46,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
3,d3b8c00c-7974-4295-911f-4417e6beb800,Riffle,3,1,0.26,,0.1,,,,0.9,,,,,9.65,54.5,109,4.85,38.5,38.5,27.3,13.65,27.3,77,54.5,0.26,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
4,b3cbec4e-810b-4644-89eb-efaf3641cfa9,SSC,4,2,0.15,,40,,,,60,80,20,,,,,,,,,,,,,,,0.56,0.45,0.35,0.65,0.24,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
5,b80e4ec9-d11b-4931-a1c3-156084788ce8,Pool,5,1,0.19,,0.1,0.1,,,0.9,70,20,10,,,,,,,,,,,,,0.5,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
6,b922c313-c498-4587-9d69-d8a9fb4ad8fe,Riffle,6,1,0.24,,0.1,,0.1,,0.9,,,,,3,54.5,54.5,38.5,54.5,77,27.3,13.65,54.5,6.85,1.03,0.39,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
7,6e930035-2644-41a8-ac1c-90b750e3bbab,Pool,7,1,0.22,,0.1,0.1,,,0.9,70,20,10,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
8,032dc8eb-6b2b-4506-b54f-7eaf85601451,Riffle,8,1,0.2,,0.2,,0.2,,0.7,,,,,27.3,3,3,13.65,9.65,1.03,19.3,27.3,218,13.65,27.3,0.47,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
9,fe194df1-5dc3-461d-86b0-63aa65a7ba48,SSC,9,3,0.14,,0.3,,0.1,,0.8,60,30,10,,,,,,,,,,,,,0.2,0.86,0.75,0.82,0.89,1.29,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
10,8afecdfd-181a-44bb-ba09-40528bb02255,Pool,10,1,0.23,,0.1,,0.1,,0.9,80,20,,,,,,,,,,,,,,0.47,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
11,35c89045-49dc-4aea-bdba-ef0637ed61d0,Riffle,11,1,0.21,,0.2,,0.1,,0.8,,,,,0.06,1.03,4.85,218,437,77,154,218,6.85,19.3,1.03,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
12,d2cc0610-7b1d-4a4d-9bf8-c39a827d1004,SSC,12,4,0.19,,0.1,,,,0.9,70,10,20,,,,,,,,,,,,,,1.02,1.07,0.87,0.62,2.11,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
13,5148a802-c588-46eb-8f2a-bbf6f7a63ddc,Pool,13,1,0.25,,0.1,,0.1,,0.9,60,10,30,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
14,62a552e4-860a-4381-a6dc-5dbdce376bbc,Riffle,14,1,0.14,,0.1,,0.1,,0.9,,,,,0.06,27.3,9.65,218,9.65,309,54.5,54.5,38.5,154,38.5,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
15,025a4cc5-27c0-4433-98ca-3bb0f137df67,Pool,15,1,0.2,,0.4,,0.2,,0.5,70,20,10,,,,,,,,,,,,,0.55,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
16,5e1a2d14-fdcf-4d0d-9e22-f664a29e4e8f,Riffle,16,1,0.34,,0.1,,0.1,,0.9,,,,,0.06,1.03,6.85,154,38.5,27.3,309,19.3,38.5,154,9.65,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
17,4c9cf623-79a1-407e-b4a9-3fada8f189e5,Riffle,17,5,0.17,,0.2,,0.1,,0.7,,,,,0.06,9.65,109,218,309,9.65,54.5,27.3,154,4.85,3,0.22,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
18,740cb0cd-ad12-4c1a-ab4f-5b091afb1517,Pool,18,1,0.21,,,,,,100,50,20,30,,,,,,,,,,,,,0.48,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
19,aafd3f6e-edb6-435b-ab9b-8210350f7b5c,Riffle,19,1,0.23,,,,,,100,,,,,0.06,0.06,3,77,309,6.85,27.3,19.3,9.65,3,154,0.29,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
20,bee32b22-87bc-4472-991a-56c4dee59ccd,Riffle,20,6,0.17,,0.3,,0.2,,0.6,,,,,0.06,0.06,154,38.5,309,54.5,77,309,54.5,19.3,4.85,0.31,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
21,6a39807a-0e00-4d5e-bd4c-f14003fce145,Pool,21,1,0.2,,0.3,,0.2,,0.7,50,20,20,10,,,,,,,,,,,,0.39,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
22,81a2cef8-d283-4438-b821-e0502a403e9a,Riffle,22,1,0.19,,0.3,,0.2,,0.7,,,,,0.06,0.06,6.85,4.85,19.3,4.85,54.5,218,27.3,77,0.06,0.44,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
23,a5ca53cc-f2b9-4771-9831-5d8d43451389,Pool,23,1,0.23,,0.6,,0.2,,0.7,60,20,20,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
24,0727e92b-04cb-4a4a-bd7b-7e69e528f549,Riffle,24,1,0.22,,0.2,,0.1,,0.8,50,30,20,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
25,8612cf02-b356-4dde-8ceb-0483ceff9216,SSC,25,7,0.19,,0.5,,0.2,,0.5,50,40,10,,,,,,,,,,,,,,0.95,0.91,1.45,1,1.24,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
26,4fdb8d06-ed44-48a4-9ec0-434571b98b99,Pool,26,1,0.22,,0.3,,0.2,,0.7,50,40,10,,,,,,,,,,,,,0.47,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
27,2bc51c40-1ee4-4d08-b7ca-ce1fe74828c0,Riffle,27,8,0.25,,0.3,,0.1,,0.7,70,20,10,,,,,,,,,,,,,0.28,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
28,7b140e7d-82be-452f-b07f-7cca6c8d689b,Pool,28,1,0.22,,0.1,,0.1,,0.9,80,20,,,,,,,,,,,,,,0.48,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
29,3d579142-0233-4f79-b8cc-2bd385d41378,Riffle,29,1,0.17,,0.2,,0.3,,0.7,60,20,20,,,,,,,,,,,,,0.45,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
30,d2704ab4-ca24-4e0c-9d61-52b50fe629fb,SSC,30,9,0.1,,,,,,100,90,10,,,,,,,,,,,,,,0.1,0.61,0.9,0.79,0.7,1.09,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
31,a3992413-6b7d-4dd9-adb9-b8ecfdba01a6,SSC,31,10,0.13,,0.4,,0.2,,0.6,80,20,,,,,,,,,,,,,,0.14,0.69,0.67,0.73,0.75,1,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
32,adc89a6e-df2d-460a-8786-bb606fb024ca,Riffle,32,11,0.28,,0.1,,0.3,,0.7,70,20,10,,,,,,,,,,,,,0.44,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
