ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,8c3f58d7-64ff-4fe8-94c3-cd01a5b81f4d,Riffle,1,1,0.39,,,,,,100,,60,40,,,,,,,,,,,,,0.8,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
2,5d1cdda4-a4c2-416c-bb83-bedcddc05edd,Pool,2,1,0.55,,10,10,,,80,10,40,50,,,,,,,,,,,,,1.2,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
3,b9a717b5-131f-4d67-a9d7-4619fa806b6c,Pool,3,1,0.38,,,20,10,,70,20,50,30,,,,,,,,,,,,,1.25,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
4,ed5aa6fa-dcce-42ed-9acc-8a197a75d519,Riffle,4,1,0.8,,,40,,,60,10,50,40,,,,,,,,,,,,,0.95,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
5,3982d363-1b24-4153-9d91-2b68747a0c61,Pool,5,1,0.65,,,30,,,70,10,30,40,20,,,,,,,,,,,,1.56,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
6,87fe21af-805b-413c-af50-306764786964,Pool,6,1,0.66,,,40,,,60,10,70,20,,,,,,,,,,,,,1.25,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
7,bf1e1cc0-04c0-4079-b42e-bf929d09e463,SSC,7,2,0.47,,30,30,,,70,20,80,,,,,,,,,,,,,,0.5,2.8,3.5,4,4.2,3,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
8,b50ee62b-8b6a-4fdd-a98c-7a5144a0b0ff,Riffle,8,1,0.92,,,20,,,80,20,80,,,1.03,19.3,27.3,1.03,19.3,54.5,109,54.5,27.3,38.5,9.65,0.95,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
9,87c596f7-5b66-4f6a-85da-7eb77a64c974,Pool,9,1,0.75,,,20,,,80,10,80,10,,,,,,,,,,,,,1.05,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
10,767e2cfb-8850-4d6c-be74-397b5bfcc994,Pool,10,1,0.4,,,20,20,,70,10,70,20,,,,,,,,,,,,,1.25,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
11,4e64f3b8-81ab-4a93-9c80-0fb72bb30297,Riffle,11,1,0.53,,,10,20,,70,10,70,20,,3,54.5,109,154,38.5,38.5,13.65,109,38.5,19.3,54.5,0.85,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
12,1844ed6e-8707-4b4f-bbf7-a66318daad76,Pool,12,1,0.8,,,,20,,80,30,70,,,,,,,,,,,,,,1.5,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
13,377ad25f-7643-4b99-8efa-6467a6727b50,Pool,13,1,1.2,,,10,,,90,30,70,,,,,,,,,,,,,,1.5,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
14,9b98eeb5-1f2f-4101-afd4-0266b9e30694,SSC,14,3,0.3,,30,50,10,,20,100,,,,,,,,,,,,,,,0.3,0.5,0.4,1.8,2,0.8,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
15,f6f47231-c41a-422d-a262-142346686bb4,OCA,15,1,0.65,,20,40,10,40,,100,,,,,,,,,,,,,,,0.71,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
16,f9bfc0a1-3ad7-4d76-8da4-90544905b214,OCA,16,1,0.76,,10,10,,,80,100,,,,,,,,,,,,,,,0.9,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
17,4b93262f-55a8-45e5-9550-f76a27bb7ae0,Pool,17,1,0.6,,,30,,,70,10,90,,,,,,,,,,,,,,1.25,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
18,fea15de6-73e2-4312-8115-8b1ac39161df,Pool,18,1,0.69,,,10,,,90,10,90,,,,,,,,,,,,,,1.35,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
19,e1eb3101-d314-4d30-8832-b5230268ae22,Run,19,1,1,,,20,10,,70,20,70,10,,,,,,,,,,,,,1.24,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
20,871984b6-ee03-4899-a2ff-5b75d5a0dc38,OCA,20,1,0.36,,20,20,,,60,100,,,,,,,,,,,,,,,0.46,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
21,f0edcd49-3a40-44e7-a521-abaf946a705d,Pool,21,1,0.46,,20,,,,80,,90,10,,,,,,,,,,,,,1.02,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
22,0b8f59b2-1533-454e-9a01-3f05f18d0e96,Run,22,1,0.5,,,20,,,80,10,60,30,,,,,,,,,,,,,0.93,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
23,3a0d43b6-2f7e-443f-89a5-07849e77e8df,Riffle,23,1,0.75,,,20,,,80,,60,40,,1.03,19.3,27.3,54.5,77,27.3,154,3,109,154,77,1.15,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
24,a7ed51bb-10e0-40be-a699-ae9d15217737,Pool,24,1,0.48,,,20,,,80,20,70,10,,,,,,,,,,,,,1.5,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
25,c617fd57-db6a-4674-a3d1-11d26375b625,Riffle,25,1,0.32,,,30,,,70,10,90,,,3,27.3,1.03,3,27.3,38.5,77,109,54.5,9.65,54.5,0.56,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
26,7ca29634-c045-46aa-964f-bb524b6cc7f5,Pool,26,1,0.61,,,10,10,,80,10,80,10,,,,,,,,,,,,,1.15,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
27,5a9ef1c3-388e-4a80-9416-1afea23f1fc9,Riffle,27,1,0.57,,,30,10,60,,,70,30,,1.03,3,9.65,4.85,154,109,27.3,6.85,38.5,77,77,0.57,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
28,5b9c775a-2bb7-4a4c-aeda-c9346c00e0bb,Pool,28,1,0.42,,,40,,,60,,80,20,,,,,,,,,,,,,0.8,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
29,753b004f-e693-4d28-8dff-182966a0476c,Pool,29,1,0.44,,,20,,,80,10,80,10,,,,,,,,,,,,,0.97,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
30,3fb78f25-8d28-4cf7-a4d6-f47cee44a19e,Pool,30,1,0.47,,,,,,100,10,90,,,,,,,,,,,,,,0.98,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
31,2c4ab014-5440-49d1-aa56-bb4edf39d611,Run,31,1,0.47,,,10,10,,80,20,80,,,,,,,,,,,,,,1.1,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
32,05adbc08-78ee-40b8-891a-a90eac729462,Riffle,32,1,0.54,,,10,10,,80,,90,10,,13.65,19.3,27.3,19.3,27.3,54.5,13.65,109,54.5,38.5,4.85,0.77,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
